season,round,race_name,driver_code,driver_name,fastest_lap_american_odds,fastest_lap_decimal_odds,fastest_lap_implied_probability,fastest_lap_no_vig_probability,source_market,source_note,odds_timestamp,source_url
2026,10,Belgian Grand Prix,ANT,Andrea Kimi Antonelli,105,2.05,0.487804878,0.363035017,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,RUS,George Russell,350,4.5,0.222222222,0.165382619,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,HAM,Lewis Hamilton,850,9.5,0.105263158,0.078339135,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,LEC,Charles Leclerc,850,9.5,0.105263158,0.078339135,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,VER,Max Verstappen,900,10,0.1,0.074422179,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,NOR,Lando Norris,1000,11,0.090909091,0.067656526,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,PIA,Oscar Piastri,1200,13,0.076923077,0.057247830,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,HAD,Isack Hadjar,3500,36,0.027777778,0.020672827,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,GAS,Pierre Gasly,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,BEA,Oliver Bearman,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,HUL,Nico Hülkenberg,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,LAW,Liam Lawson,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,BOR,Gabriel Bortoleto,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,COL,Franco Colapinto,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,OCO,Esteban Ocon,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,SAI,Carlos Sainz,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,LIN,Arvid Lindblad,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,ALB,Alexander Albon,10000,101,0.00990099,0.007368533,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,BOT,Valtteri Bottas,13000,131,0.007633588,0.005681082,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,PER,Sergio Pérez,13000,131,0.007633588,0.005681082,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,STR,Lance Stroll,15000,151,0.006622517,0.004928621,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
2026,10,Belgian Grand Prix,ALO,Fernando Alonso,15000,151,0.006622517,0.004928621,Fastest Lap,User re-supplied the unchanged Belgium GP 2026 fastest-lap board on 2026-07-14.,2026-07-14 America/New_York,
