season,round,driver_code,win_books,win_avg_american_odds,win_avg_decimal_odds,win_best_american_odds,win_best_decimal_odds,win_best_sportsbook,win_market_implied_probability,win_market_no_vig_probability,podium_books,podium_avg_american_odds,podium_avg_decimal_odds,podium_best_american_odds,podium_best_decimal_odds,podium_best_sportsbook,podium_market_implied_probability,podium_market_no_vig_probability,podium_market_avg_american_odds,podium_market_avg_decimal_odds,podium_market_best_american_odds,podium_market_best_decimal_odds,podium_market_probability,podium_market_no_vig_probability_only,podium_estimated_probability,podium_estimated_decimal_odds,podium_estimated_american_odds,podium_effective_avg_decimal_odds,podium_effective_avg_american_odds,podium_effective_best_decimal_odds,podium_effective_best_american_odds,podium_effective_probability,podium_effective_no_vig_probability,podium_odds_source
2025,1,ALB,1,7000,71,7000,71,not specified,0.0140845070422535,0.0121928653999536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,ALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,ANT,1,18000,181,18000,181,not specified,0.00552486187845303,0.00478283670384921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,BEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,BOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,DOO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,GAS,1,18000,181,18000,181,not specified,0.00552486187845303,0.00478283670384921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,HAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,HAM,1,2000,21,2000,21,not specified,0.0476190476190476,0.0412234973046051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
2025,1,HUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
