season,round,race_name,circuit_id,circuit_name,lat,long,locality,country,date,time,sprint_date
2018,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2018-03-25,05:10:00Z,NA
2018,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2018-04-08,15:10:00Z,NA
2018,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,31.3389,121.22,Shanghai,China,2018-04-15,06:10:00Z,NA
2018,4,Azerbaijan Grand Prix,baku,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,2018-04-29,12:10:00Z,NA
2018,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Barcelona,Spain,2018-05-13,13:10:00Z,NA
2018,6,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte Carlo,Monaco,2018-05-27,13:10:00Z,NA
2018,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,2018-06-10,18:10:00Z,NA
2018,8,French Grand Prix,ricard,Circuit Paul Ricard,43.2506,5.79167,Le Castellet,France,2018-06-24,14:10:00Z,NA
2018,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,2018-07-01,13:10:00Z,NA
2018,10,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,2018-07-08,13:10:00Z,NA
2018,11,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,2018-07-22,13:10:00Z,NA
2018,12,Hungarian Grand Prix,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,2018-07-29,13:10:00Z,NA
2018,13,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,2018-08-26,13:10:00Z,NA
2018,14,Italian Grand Prix,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2018-09-02,13:10:00Z,NA
2018,15,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,2018-09-16,12:10:00Z,NA
2018,16,Russian Grand Prix,sochi,Sochi Autodrom,43.4057,39.9578,Sochi,Russia,2018-09-30,11:10:00Z,NA
2018,17,Japanese Grand Prix,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2018-10-07,05:10:00Z,NA
2018,18,United States Grand Prix,americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA,2018-10-21,18:10:00Z,NA
