overlay_family,target,coefficient_type,beta,train_end_season,global_train_end_season,max_nudge,fitted_at
qualifying,qualifying_position_strength,linear_position_strength,0,2017,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,1.1138506041415221,2018,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,1.0465529467084054,2019,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,1.4355322249998737,2020,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,1.1848033173085113,2021,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,1.197769617783778,2022,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,1.0260502335074753,2023,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,0.8856073482870599,2024,2025,2.25,2026-07-20 20:15:33.432182
qualifying,qualifying_position_strength,linear_position_strength,0.8260518387335772,2025,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0,2017,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.057624836900428696,2018,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.917294651106471,2019,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.8755102768042856,2020,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.7301939658437968,2021,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.6254631495168381,2022,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.7747894499552824,2023,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.859946361744207,2024,2025,2.25,2026-07-20 20:15:33.432182
finish,finish_position_strength,linear_position_strength,0.8069661395418073,2025,2025,2.25,2026-07-20 20:15:33.432182
probability,winner,logit,0,2017,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,-0.3611032796298811,2018,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.3316642130677933,2019,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.026684774019759834,2020,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.13400994294462573,2021,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.22517599532164592,2022,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.44531905428076557,2023,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.5348146328355429,2024,2025,0.75,2026-07-20 20:15:33.432182
probability,winner,logit,0.8277368789948435,2025,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,0,2017,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,-0.5808193097588694,2018,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,0.08005791367154788,2019,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,-0.1435887006481263,2020,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,-0.12024159798736808,2021,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,0.16631501211784533,2022,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,0.5401151111247364,2023,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,0.5835165203268964,2024,2025,0.75,2026-07-20 20:15:33.432182
probability,podium,logit,0.720368823916152,2025,2025,0.75,2026-07-20 20:15:33.432182
points,points,linear_points,0,2017,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,-0.4828748950819244,2018,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.22171414671768783,2019,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.3491721216113282,2020,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.5629361134095652,2021,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.6921206162181189,2022,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.972284290374016,2023,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.9830338331185994,2024,2025,3,2026-07-20 20:15:33.432182
points,points,linear_points,0.8321318822753769,2025,2025,3,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,0,2017,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,2.1421373956693635,2018,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,2.1834287693818437,2019,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,1.114530675249051,2020,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,0.9883675945675587,2021,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,1.3427463354006217,2022,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,1.3324856789358646,2023,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,1.2878970374682404,2024,2025,0.75,2026-07-20 20:15:33.432182
winner_without,winner_without,logit,0.6773797882675677,2025,2025,0.75,2026-07-20 20:15:33.432182
